"GeneId","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ProductDescription"
"PBANKA_0000201.1",0,NA,NA,NA,NA,NA,"fam-c protein, pseudogene"
"PBANKA_0000301.1",3.22124159795367,-0.00534105437159869,1.20929788369411,-0.00441665733779594,0.996476028756756,0.996883502086855,"fam-b protein"
"PBANKA_0000401.1",0.233334680202016,-0.725732074867658,2.34401681107764,-0.30961043941234,0.756857216641266,0.818590265478717,"tryptophan-rich antigen, putative, pseudogene"
"PBANKA_0000600.1",6.93469920045721,-3.07887034885591,1.07467136378124,-2.86494127658048,0.00417086580491087,0.0103963557735246,"PIR protein"
"PBANKA_0000701.1",0.27093224560473,0.508796040995311,2.34454652352579,0.217012559098281,0.828198557418859,0.875243097505502,"PIR protein"
"PBANKA_0000801.1",0.0591048246926472,-0.0618912463001801,2.34778241501285,-0.0263615767391466,0.978968940811512,0.984805721091844,"PIR protein"
"PBANKA_0000901.1",1.02740353037048,-2.5318916317241,1.83059380486538,-1.38309854703692,0.166634651150025,0.248277511594724,"fam-a protein"
"PBANKA_0001001.1",45.3283037121859,0.252644583271797,0.550637593777088,0.458821893250669,0.6463620716283,0.727547645842483,"PIR protein"
"PBANKA_0001101.1",10.0781827241951,-0.708951666061725,0.891497124480786,-0.795237187640536,0.426475543582318,0.530708248918688,"PIR protein"
"PBANKA_0001200.1",0,NA,NA,NA,NA,NA,"fam-a protein, pseudogene"
"PBANKA_0001201.1",65.5915834252003,-3.56817486506853,1.1063339281659,-3.22522411563741,NA,NA,"PIR protein"
"PBANKA_0001301.1",0.293220149565253,-0.778501378938651,2.34371905842388,-0.33216497350249,0.739764690710783,0.805444733343983,"PIR protein"
"PBANKA_0001401.1",1.87967178183263,-0.192204472829901,1.43767775832549,-0.133690927411834,0.893646979634646,0.925225279592112,"PIR protein"
"PBANKA_0001501.1",0,NA,NA,NA,NA,NA,"PIR protein"
"PBANKA_0001601.1",0.43983022434788,-1.14029731229968,2.34086645445175,-0.487126170795055,0.626168921180257,0.711691387598616,"fam-a protein"
"PBANKA_0006300.1",2.60823898667818,-3.78144313174215,1.62441202568523,-2.32788422638462,0.0199182520442036,0.0409152003578036,"PIR protein"
"PBANKA_0006401.1",0,NA,NA,NA,NA,NA,"PIR protein, pseudogene"
